0.000000000000000000e+00,6.492290698459476928e-02
8.333333333333332871e-02,4.683344513890571603e-01
1.666666666666666574e-01,7.775666011257190702e-01
2.500000000000000000e-01,1.018377553580386508e+00
3.333333333333333148e-01,9.863885581463121000e-01
4.166666666666666297e-01,6.343925114075021909e-01
5.000000000000000000e-01,-2.880258412761868003e-01
5.833333333333332593e-01,-4.946308621098320368e-01
6.666666666666666297e-01,-9.771837936461348351e-01
7.500000000000000000e-01,-9.759124610278112621e-01
8.333333333333332593e-01,-6.487368438748848387e-01
9.166666666666666297e-01,-3.946213789766634950e-01
1.000000000000000000e+00,-9.659104985512483033e-02
